Chapter,Section,VerseRange,Text
4,1,1-3,"When Ganaka Vaideha was sitting (to give audience), Yagnavalkya approached, and Ganaka Vaideha said: `Yagnavalkya, for what object did you come, wishing for cattle, or for subtle questions?' Yagnavalkya replied: `For both, Your Majesty; `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Gitvan Sailini told me that speech (vak) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Sailini tell you, that speech is Brahman; for what is the use of a dumb person? But did he tell you the body (ayatana) and the resting-place (pratishtha) of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `The tongue is its body, ether its place, and one should worship it as knowledge.' Ganaka Vaideha said: `What is the nature of that knowledge?' Yagnavalkya replied: `Your Majesty, speech itself (is knowledge). For through speech, Your Majesty, a friend is known (to be a friend), and likewise the Rigveda, Yagur-veda, Sama-veda, the Atharvangirasas, the Itihasa (tradition), Purana-vidya (knowledge of the past), the Upanishads, Slokas (verses), Sutras (rules), Anuvyakhyanas and Vyakhyanas (commentaries, &c.); what is sacrificed, what is poured out, what is (to be) eaten and drunk, this world and the other world, and all creatures. By speech alone, Your Majesty, Brahman is known, speech indeed, O King, is the Highest Brahman. Speech does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may"
4,1,2-4,"`Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Gitvan Sailini told me that speech (vak) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Sailini tell you, that speech is Brahman; for what is the use of a dumb person? But did he tell you the body (ayatana) and the resting-place (pratishtha) of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `The tongue is its body, ether its place, and one should worship it as knowledge.' Ganaka Vaideha said: `What is the nature of that knowledge?' Yagnavalkya replied: `Your Majesty, speech itself (is knowledge). For through speech, Your Majesty, a friend is known (to be a friend), and likewise the Rigveda, Yagur-veda, Sama-veda, the Atharvangirasas, the Itihasa (tradition), Purana-vidya (knowledge of the past), the Upanishads, Slokas (verses), Sutras (rules), Anuvyakhyanas and Vyakhyanas (commentaries, &c.); what is sacrificed, what is poured out, what is (to be) eaten and drunk, this world and the other world, and all creatures. By speech alone, Your Majesty, Brahman is known, speech indeed, O King, is the Highest Brahman. Speech does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Udanka Saulbayana told me that life (prana) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Udanka Saulbayana tell you that life is Brahman; for what is the use of a person without life? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `Breath is its body, ether its place, and one should worship it as what is dear.' Ganaka Vaideha said: `What is the nature of that which is dear?' Yagnavalkya replied: `Your Majesty, life itself (is that which is dear);' because for the sake of life, Your Majesty, a man sacrifices even for him who is unworthy of sacrifice, he accepts presents from him who is not worthy to bestow presents, nay, he goes to a country, even when there is fear of being hurt, for the sake of life. Life, O King, is the Highest Brahman. Life does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may"
4,1,3-5,"Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Udanka Saulbayana told me that life (prana) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Udanka Saulbayana tell you that life is Brahman; for what is the use of a person without life? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `Breath is its body, ether its place, and one should worship it as what is dear.' Ganaka Vaideha said: `What is the nature of that which is dear?' Yagnavalkya replied: `Your Majesty, life itself (is that which is dear);' because for the sake of life, Your Majesty, a man sacrifices even for him who is unworthy of sacrifice, he accepts presents from him who is not worthy to bestow presents, nay, he goes to a country, even when there is fear of being hurt, for the sake of life. Life, O King, is the Highest Brahman. Life does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Barku Varshna told me that sight (kakshus) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Barku Varshna tell you that sight is Brahman; for what is the use of a person who cannot see? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `The eye is its body, ether its place, and one should worship it as what is true.' Ganaka Vaideha said: `What is the nature of that which is true?' Yagnavalkya replied: `Your Majesty, sight itself (is that which is true); for if they say to a man who sees with his eye, ""Didst thou see?"" and he says, ""I saw,"" then it is true. Sight, O King, is the Highest Brahman. Sight does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may"
4,1,4-6,"Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Barku Varshna told me that sight (kakshus) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Barku Varshna tell you that sight is Brahman; for what is the use of a person who cannot see? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `The eye is its body, ether its place, and one should worship it as what is true.' Ganaka Vaideha said: `What is the nature of that which is true?' Yagnavalkya replied: `Your Majesty, sight itself (is that which is true); for if they say to a man who sees with his eye, ""Didst thou see?"" and he says, ""I saw,"" then it is true. Sight, O King, is the Highest Brahman. Sight does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Gardabhivibhita Bharadvaga told me that hearing ( srotra) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Gardabhivibhita Bharadvaga tell you that hearing is Brahman; for what is the use of a person who cannot hear? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `The ear is its body, ether its place, and we should worship it as what is endless.' Ganaka Vaideha said: `What is the nature of that which is endless?' Yagnavalkya replied: `Your Majesty, space (disah) itself (is that which is endless), and therefore to whatever space (quarter) he goes, he never comes to the end of it. For space is endless. Space indeed, O King, is hearing, and hearing indeed, O King, is the Highest Brahman. Hearing does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may"
4,1,5-7,"Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Gardabhivibhita Bharadvaga told me that hearing ( srotra) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Gardabhivibhita Bharadvaga tell you that hearing is Brahman; for what is the use of a person who cannot hear? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `The ear is its body, ether its place, and we should worship it as what is endless.' Ganaka Vaideha said: `What is the nature of that which is endless?' Yagnavalkya replied: `Your Majesty, space (disah) itself (is that which is endless), and therefore to whatever space (quarter) he goes, he never comes to the end of it. For space is endless. Space indeed, O King, is hearing, and hearing indeed, O King, is the Highest Brahman. Hearing does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Satyakama Gabala told me that mind (manas) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Satyakama Gabala tell you that mind is Brahman; for what is the use of a person without mind? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `Mind itself is its body, ether its place, and we should worship it as bliss.' Ganaka Vaideha said: `What is the nature of bliss?' Yagnavalkya replied: `Your Majesty, mind itself; for with the mind does a man desire a woman, and a like son is born of her, and he is bliss. Mind indeed, O King, is the Highest Brahman. Mind does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may"
4,1,6-7,"Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Satyakama Gabala told me that mind (manas) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Satyakama Gabala tell you that mind is Brahman; for what is the use of a person without mind? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `Mind itself is its body, ether its place, and we should worship it as bliss.' Ganaka Vaideha said: `What is the nature of bliss?' Yagnavalkya replied: `Your Majesty, mind itself; for with the mind does a man desire a woman, and a like son is born of her, and he is bliss. Mind indeed, O King, is the Highest Brahman. Mind does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.' Yagnavalkya said: `Let us hear what anybody may have told you.' Ganaka Vaideha replied: `Vidagdha Sakalya told me that the heart (hridaya) is Brahman.' Yagnavalkya said: `As one who had (the benefit of a good) father, mother, and teacher might tell, so did Vidagdha Sakalya tell you that the heart is Brahman; for what is the use of a person without a heart? But did he tell you the body and the resting-place of that Brahman?' Ganaka Vaideha said: `He did not tell me.' Yagnavalkya said: `Your Majesty, this (Brahman) stands on one leg only.' Ganaka Vaideha said: `Then tell me, Yagnavalkya.' Yagnavalkya said: `The heart itself is its body, ether its place, and we should worship it as certainty (sthiti).' Ganaka Vaideha said: `What is the nature of certainty?' Yagnavalkya replied: `Your Majesty, the heart itself; for the heart indeed, O King, is the body of all things, the heart is the resting-place of all things, for in the heart, O King, all things rest. The heart indeed, O King, is the Highest Brahman. The heart does not desert him who worships that (Brahman) with such knowledge, all creatures approach him, and having become a god, he goes to the gods.' Ganaka Vaideha said: `I shall give you (for this) a thousand cows with a bull as big as an elephant.' Yagnavalkya said: `My father was of opinion that one should not accept a reward without having fully instructed a pupil.'"
4,2,1-3,"Ganaka Vaideha, descending from his throne, said: `I bow to you, O Yagnavalkya, teach me.' Yagnavalkya said: `Your Majesty, as a man who wishes to make a long journey, would furnish himself with a chariot or a ship, thus is your mind well furnished by these Upanishads. You are honourable, and wealthy, you have learnt the Vedas and been told the Upanishads. Whither then will you go when departing hence?' Ganaka Vaideha said: `Sir, I do not know whither I shall go.' Yagnavalkya said: `Then I shall tell you this, whither you will go.' Ganaka Vaideha said: `Tell it, Sir.' Yagnavalkya said: `That person who is in the right eye, he is called Indha, and him who is Indha they call indeed Indra mysteriously, for the gods love what is mysterious, and dislike what is evident. `Now that which in the shape of a person is in the"
4,2,2-4,"Yagnavalkya said: `That person who is in the right eye, he is called Indha, and him who is Indha they call indeed Indra mysteriously, for the gods love what is mysterious, and dislike what is evident. `Now that which in the shape of a person is in the right eye, is his wife, Virag. Their meetingplace is the ether within the heart, and their food the red lump within the heart. Again, their covering is that which is like net-work within the heart, and the road on which they move (from sleep to waking) is the artery that rises upwards from the heart. Like a hair divided into a thousand parts, so are the veins of it, which are called Hita, placed firmly within the heart. Through these indeed that (food) flows on flowing, and he (the Taigasa) receives as it were purer food than the corporeal Self (the Vaisvanara). `His (the Taigasa's) Eastern quarter are the pranas"
4,2,3-4,"`Now that which in the shape of a person is in the right eye, is his wife, Virag. Their meetingplace is the ether within the heart, and their food the red lump within the heart. Again, their covering is that which is like net-work within the heart, and the road on which they move (from sleep to waking) is the artery that rises upwards from the heart. Like a hair divided into a thousand parts, so are the veins of it, which are called Hita, placed firmly within the heart. Through these indeed that (food) flows on flowing, and he (the Taigasa) receives as it were purer food than the corporeal Self (the Vaisvanara). `His (the Taigasa's) Eastern quarter are the pranas (breath) which go to the East; `His Southern quarter are the pranas which go to the South; `His Western quarter are the pranas which go to the West; `His Northern quarter are the pranas which go to the North; `His Upper (Zenith) quarter are the pranas which go upward; `His Lower (Nadir) quarter are the pranas which go downward; `All the quarters are all the pranas. And he (the Atman in that state) can only be described by No, no! He is incomprehensible, for he cannot be comprehended; he is undecaying, for he cannot decay; he is not attached, for he does not attach himself; he is unbound, he does not suffer, he does not perish. O Ganaka, you have indeed reached fearlessness,' thus said Yagnavalkya. Then Ganaka said: `May that fearlessness come to you also who teachest us fearlessness. I bow to you. Here are the Videhas, and here am I (thy slave).'"
4,3,1-3,"Yagnavalkya came to Ganaka Vaideha, and he did not mean to speak with him. But when formerly Ganaka Vaideha and Yagnavalkya had a disputation on the Agnihotra, Yagnavalkya had granted him a boon, and he chose (for a boon) that he might be free to ask him any question he liked. Yagnavalkya granted it, and thus the King was the first to ask him a question. `Yagnavalkya,' he said, `what is the light of man?' Yagnavalkya replied: `The sun, O King; for, having the sun alone for his light, man sits, moves about, does his work, and returns.' Ganaka Vaideha said: `So indeed it is, O Yagnavalkya.' Ganaka Vaideha said: `When the sun has set, O"
4,3,2-4,"`Yagnavalkya,' he said, `what is the light of man?' Yagnavalkya replied: `The sun, O King; for, having the sun alone for his light, man sits, moves about, does his work, and returns.' Ganaka Vaideha said: `So indeed it is, O Yagnavalkya.' Ganaka Vaideha said: `When the sun has set, O Yagnavalkya, what is then the light of man?' Yagnavalkya replied: `The moon indeed is his light; for, having the moon alone for his light, man sits, moves about, does his work, and returns.' Ganaka Vaideha said: `So indeed it is, O Yagnavalkya.' Ganaka Vaideha said: `When the sun has set, O"
4,3,3-5,"Ganaka Vaideha said: `When the sun has set, O Yagnavalkya, what is then the light of man?' Yagnavalkya replied: `The moon indeed is his light; for, having the moon alone for his light, man sits, moves about, does his work, and returns.' Ganaka Vaideha said: `So indeed it is, O Yagnavalkya.' Ganaka Vaideha said: `When the sun has set, O Yagnavalkya, and the moon has set, what is the light of man?' Yagnavalkya replied: `Fire indeed is his light; for, having fire alone for his light, man sits, moves about, does his work, and returns.' Ganaka Vaideha said: `When the sun has set, O"
4,3,4-6,"Ganaka Vaideha said: `When the sun has set, O Yagnavalkya, and the moon has set, what is the light of man?' Yagnavalkya replied: `Fire indeed is his light; for, having fire alone for his light, man sits, moves about, does his work, and returns.' Ganaka Vaideha said: `When the sun has set, O Yagnavalkya, and the moon has set, and the fire is gone out, what is then the light of man?' Yagnavalkya replied: `Sound indeed is his light; for, having sound alone for his light, man sits, moves about, does his work, and returns. Therefore, O King, when one cannot see even one's own hand, yet when a sound is raised, one goes towards it.' Ganaka Vaideha said: `So indeed it is, O Yagnavalkya.' Ganaka Vaideha said: `When the sun has set, O"
4,3,5-7,"Ganaka Vaideha said: `When the sun has set, O Yagnavalkya, and the moon has set, and the fire is gone out, what is then the light of man?' Yagnavalkya replied: `Sound indeed is his light; for, having sound alone for his light, man sits, moves about, does his work, and returns. Therefore, O King, when one cannot see even one's own hand, yet when a sound is raised, one goes towards it.' Ganaka Vaideha said: `So indeed it is, O Yagnavalkya.' Ganaka Vaideha said: `When the sun has set, O Yagnavalkya, and the moon has set, and the fire is gone out, and the sound hushed, what is then the light of man?' Yagnavalkya said: `The Self indeed is his light; for, having the Self alone as his light, man sits, moves about, does his work, and returns.' Ganaka Vaideha said: `Who is that Self?'"
4,3,6-8,"Ganaka Vaideha said: `When the sun has set, O Yagnavalkya, and the moon has set, and the fire is gone out, and the sound hushed, what is then the light of man?' Yagnavalkya said: `The Self indeed is his light; for, having the Self alone as his light, man sits, moves about, does his work, and returns.' Ganaka Vaideha said: `Who is that Self?' Yagnavalkya replied: `He who is within the heart, surrounded by the Pranas (senses), the person of light, consisting of knowledge. He, remaining the same, wanders along the two worlds, as if thinking, as if moving. During sleep (in dream) he transcends this world and all the forms of death (all that falls under the sway of death, all that is perishable). `On being born that person, assuming his body,"
4,3,7-9,"Ganaka Vaideha said: `Who is that Self?' Yagnavalkya replied: `He who is within the heart, surrounded by the Pranas (senses), the person of light, consisting of knowledge. He, remaining the same, wanders along the two worlds, as if thinking, as if moving. During sleep (in dream) he transcends this world and all the forms of death (all that falls under the sway of death, all that is perishable). `On being born that person, assuming his body, becomes united with all evils; when he departs and dies, he leaves all evils behind. `And there are two states for that person, the one"
4,3,8-10,"`On being born that person, assuming his body, becomes united with all evils; when he departs and dies, he leaves all evils behind. `And there are two states for that person, the one here in this world, the other in the other world, and as a third an intermediate state, the state of sleep. When in that intermediate state, he sees both those states together, the one here in this world, and the other in the other world. Now whatever his admission to the other world may be, having gained that admission, he sees both the evils and the blessings. `And when he falls asleep, then after having taken away with him the material from the whole world, destroying and building it up again, he sleeps (dreams) by his own light. In that state the person is selfilluminated. `There are no (real) chariots in that state, no"
4,3,9-11,"`And there are two states for that person, the one here in this world, the other in the other world, and as a third an intermediate state, the state of sleep. When in that intermediate state, he sees both those states together, the one here in this world, and the other in the other world. Now whatever his admission to the other world may be, having gained that admission, he sees both the evils and the blessings. `And when he falls asleep, then after having taken away with him the material from the whole world, destroying and building it up again, he sleeps (dreams) by his own light. In that state the person is selfilluminated. `There are no (real) chariots in that state, no horses, no roads, but he himself sends forth (creates) chariots, horses, and roads. There are no blessings there, no happiness, no joys, but he himself sends forth (creates) blessings, happiness, and joys. There are no tanks there, no lakes, no rivers, but he himself sends forth (creates) tanks, lakes, and rivers. He indeed is the maker. `On this there are these verses:"
4,3,10-12,"`There are no (real) chariots in that state, no horses, no roads, but he himself sends forth (creates) chariots, horses, and roads. There are no blessings there, no happiness, no joys, but he himself sends forth (creates) blessings, happiness, and joys. There are no tanks there, no lakes, no rivers, but he himself sends forth (creates) tanks, lakes, and rivers. He indeed is the maker. `On this there are these verses: `After having subdued by sleep all that belongs to the body, he, not asleep himself, looks down upon the sleeping (senses). Having assumed light, he goes again to his place, the golden person, the lonely bird. (1) `Guarding with the breath (prana, life) the lower"
4,3,11-13,"`On this there are these verses: `After having subdued by sleep all that belongs to the body, he, not asleep himself, looks down upon the sleeping (senses). Having assumed light, he goes again to his place, the golden person, the lonely bird. (1) `Guarding with the breath (prana, life) the lower nest, the immortal moves away from the nest; that immortal one goes wherever he likes, the golden person, the lonely bird. (2) `Going up and down in his dream, the god makes"
4,3,12-14,"`Guarding with the breath (prana, life) the lower nest, the immortal moves away from the nest; that immortal one goes wherever he likes, the golden person, the lonely bird. (2) `Going up and down in his dream, the god makes manifold shapes for himself, either rejoicing together with women, or laughing (with his friends), or seeing terrible sights. (3) `People may see his playground, but himself no"
4,3,13-15,"`Going up and down in his dream, the god makes manifold shapes for himself, either rejoicing together with women, or laughing (with his friends), or seeing terrible sights. (3) `People may see his playground, but himself no one ever sees. Therefore they say, ""Let no one wake a man suddenly, for it is not easy to remedy, if he does not get back (rightly to his body)."" `Here some people (object and) say: ""No, this (sleep) is the same as the place of waking, for what he sees while awake, that only he sees when asleep."" No, here (in sleep) the person is self-illuminated (as we explained before).' Ganaka Vaideha said: `I give you, Sir, a thousand. Speak on for the sake of (my) emancipation.' Yagnavalkya said: `That (person) having enjoyed"
4,3,14-16,"`People may see his playground, but himself no one ever sees. Therefore they say, ""Let no one wake a man suddenly, for it is not easy to remedy, if he does not get back (rightly to his body)."" `Here some people (object and) say: ""No, this (sleep) is the same as the place of waking, for what he sees while awake, that only he sees when asleep."" No, here (in sleep) the person is self-illuminated (as we explained before).' Ganaka Vaideha said: `I give you, Sir, a thousand. Speak on for the sake of (my) emancipation.' Yagnavalkya said: `That (person) having enjoyed himself in that state of bliss (samprasada, deep sleep), having moved about and seen both good and evil, hastens back again as he came, to the place from which he started (the place of sleep), to dream. And whatever he may have seen there, he is not followed (affected) by it, for that person is not attached to anything.' Ganaka Vaideha said: `So it is indeed, Yagnavalkya. I give you, Sir, a thousand. Speak on for the sake of emancipation.' Yagnavalkya said: `That (person) having enjoyed"
4,3,15-17,"Yagnavalkya said: `That (person) having enjoyed himself in that state of bliss (samprasada, deep sleep), having moved about and seen both good and evil, hastens back again as he came, to the place from which he started (the place of sleep), to dream. And whatever he may have seen there, he is not followed (affected) by it, for that person is not attached to anything.' Ganaka Vaideha said: `So it is indeed, Yagnavalkya. I give you, Sir, a thousand. Speak on for the sake of emancipation.' Yagnavalkya said: `That (person) having enjoyed himself in that sleep (dream), having moved about and seen both good and evil, hastens back again as he came, to the place from which he started, to be awake. And whatever he may have seen there, he is not followed (affected) by it, for that person is not attached to anything.' Ganaka Vaideha said: `So it is indeed, Yagnavalkya. I give you, Sir, a thousand. Speak on for the sake of emancipation.' Yagnavalkya said: `That (person) having enjoyed"
4,3,16-18,"Yagnavalkya said: `That (person) having enjoyed himself in that sleep (dream), having moved about and seen both good and evil, hastens back again as he came, to the place from which he started, to be awake. And whatever he may have seen there, he is not followed (affected) by it, for that person is not attached to anything.' Ganaka Vaideha said: `So it is indeed, Yagnavalkya. I give you, Sir, a thousand. Speak on for the sake of emancipation.' Yagnavalkya said: `That (person) having enjoyed himself in that state of waking, having moved about and seen both good and evil, hastens back again as he came, to the place from which he started, to the state of sleeping (dream). `In fact, as a large fish moves along the two"
4,3,17-19,"Yagnavalkya said: `That (person) having enjoyed himself in that state of waking, having moved about and seen both good and evil, hastens back again as he came, to the place from which he started, to the state of sleeping (dream). `In fact, as a large fish moves along the two banks of a river, the right and the left, so does that person move along these two states, the state of sleeping and the state of waking. `And as a falcon, or any other (swift) bird, after he"
4,3,18-20,"`In fact, as a large fish moves along the two banks of a river, the right and the left, so does that person move along these two states, the state of sleeping and the state of waking. `And as a falcon, or any other (swift) bird, after he has roamed about here in the air, becomes tired, and folding his wings is carried to his nest, so does that person hasten to that state where, when asleep, he desires no more desires, and dreams no more dreams. `There are in his body the veins called Hita,"
4,3,19-21,"`And as a falcon, or any other (swift) bird, after he has roamed about here in the air, becomes tired, and folding his wings is carried to his nest, so does that person hasten to that state where, when asleep, he desires no more desires, and dreams no more dreams. `There are in his body the veins called Hita, which are as small as a hair divided a thousandfold, full of white, blue, yellow, green, and red. Now when, as it were, they kill him, when, as it were, they overcome him, when, as it were, an elephant chases him, when, as it were, he falls into a well, he fancies, through ignorance, that danger which he (commonly) sees in waking. But when he fancies that he is, as it were, a god, or that he is, as it were, a king, or ""I am this altogether,"" that is his highest world. `This indeed is his (true) form, free from desires,"
4,3,20-22,"`There are in his body the veins called Hita, which are as small as a hair divided a thousandfold, full of white, blue, yellow, green, and red. Now when, as it were, they kill him, when, as it were, they overcome him, when, as it were, an elephant chases him, when, as it were, he falls into a well, he fancies, through ignorance, that danger which he (commonly) sees in waking. But when he fancies that he is, as it were, a god, or that he is, as it were, a king, or ""I am this altogether,"" that is his highest world. `This indeed is his (true) form, free from desires, free from evil, free from fear. Now as a man, when embraced by a beloved wife, knows nothing that is without, nothing that is within, thus this person, when embraced by the intelligent (pragna) Self, knows nothing that is without, nothing that is within. This indeed is his (true) form, in which his wishes are fulfilled, in which the Self (only) is his wish, in which no wish is left, free from any sorrow. `Then a father is not a father, a mother not a"
4,3,21-23,"`This indeed is his (true) form, free from desires, free from evil, free from fear. Now as a man, when embraced by a beloved wife, knows nothing that is without, nothing that is within, thus this person, when embraced by the intelligent (pragna) Self, knows nothing that is without, nothing that is within. This indeed is his (true) form, in which his wishes are fulfilled, in which the Self (only) is his wish, in which no wish is left, free from any sorrow. `Then a father is not a father, a mother not a mother, the worlds not worlds, the gods not gods, the Vedas not Vedas. Then a thief is not a thief, a murderer not a murderer, a Kandala not a Kandala, a Paulkasa not a Paulkasa, a Sramana not a Sramana, a Tapasa not a Tapasa. He is not followed by good, not followed by evil, for he has then overcome all the sorrows of the heart. `And when (it is said that) there (in the Sushupti)"
4,3,22-24,"`Then a father is not a father, a mother not a mother, the worlds not worlds, the gods not gods, the Vedas not Vedas. Then a thief is not a thief, a murderer not a murderer, a Kandala not a Kandala, a Paulkasa not a Paulkasa, a Sramana not a Sramana, a Tapasa not a Tapasa. He is not followed by good, not followed by evil, for he has then overcome all the sorrows of the heart. `And when (it is said that) there (in the Sushupti) he does not see, yet he is seeing, though he does not see. For sight is inseparable from the seer, because it cannot perish. But there is then no second, nothing else different from him that he could see. `And when (it is said that) there (in the Sushupti)"
4,3,23-25,"`And when (it is said that) there (in the Sushupti) he does not see, yet he is seeing, though he does not see. For sight is inseparable from the seer, because it cannot perish. But there is then no second, nothing else different from him that he could see. `And when (it is said that) there (in the Sushupti) he does not smell, yet he is smelling, though he does not smell. For smelling is inseparable from the smeller, because it cannot perish. But there is then no second, nothing else different from him that he could smell. `And when (it is said that) there (in the Sushupti)"
4,3,24-26,"`And when (it is said that) there (in the Sushupti) he does not smell, yet he is smelling, though he does not smell. For smelling is inseparable from the smeller, because it cannot perish. But there is then no second, nothing else different from him that he could smell. `And when (it is said that) there (in the Sushupti) he does not taste, yet he is tasting, though he does not taste. For tasting is inseparable from the taster, because it cannot perish. But there is then no second, nothing else different from him that he could taste. `And when (it is said that) there (in the Sushupti)"
