ParagraphRange,Text
88-90,"Hearken ye, O Rulers of America and the Presidents of the Republics therein, unto that which the Dove is warbling on the Branch of Eternity: ""There is none other God but Me, the Ever-Abiding, the Forgiving, the All-Bountiful."" Adorn ye the temple of dominion with the ornament of justice and of the fear of God, and its head with the crown of the remembrance of your Lord, the Creator of the heavens. Thus counselleth you He Who is the Dayspring of Names, as bidden by Him Who is the All-Knowing, the All-Wise. The Promised One hatthe Tablet ofh appeared in this glorified Station, whereat all beings, both seen and unseen, have rejoiced. Take ye advantage of the Day of God. Verily, to meet Him is better for you than all that whereon the sun shineth, could ye but know it. O concourse of rulers! Give ear unto that which hath been raised from the Dayspring of Grandeur: ""Verily, there is none other God but Me, the Lord of Utterance, the All-Knowing."" Bind ye the broken with the hands of justice, and crush the oppressor who flourisheth with the rod of the commandments of your Lord, the Ordainer, the All-Wise. O people of Constantinople! Lo, from your midst We hear the baleful hooting of the owl. Hath the drunkenness of passion laid hold upon you, or is it that ye are sunk in heedlessness? O Spot that art situate on the shores of the two seas! The throne of tyranny hath, verily, been established upon thee, and the flame of hatred hath been kindled within thy bosom, in such wise that the Concourse on high and they who circle around the Exalted Throne have wailed and lamented. We behold in thee the foolish ruling over the wise, and darkness vaunting itself against the light. Thou art indeed filled with manifest pride. Hath thine outward splendour made thee vainglorious? By Him Who is the Lord of mankind! It shall soon perish, and thy daughters and thy widows and all the kindreds that dwell within thee shall lament. Thus informeth thee the All-Knowing, the All-Wise. O banks of the Rhine! We have seen you covered with gore, inasmuch as the swords of retribution were drawn against you; and you shall have another turn. And We hear the lamentations of Berlin, though she be today in conspicuous glory."
89-91,"O people of Constantinople! Lo, from your midst We hear the baleful hooting of the owl. Hath the drunkenness of passion laid hold upon you, or is it that ye are sunk in heedlessness? O Spot that art situate on the shores of the two seas! The throne of tyranny hath, verily, been established upon thee, and the flame of hatred hath been kindled within thy bosom, in such wise that the Concourse on high and they who circle around the Exalted Throne have wailed and lamented. We behold in thee the foolish ruling over the wise, and darkness vaunting itself against the light. Thou art indeed filled with manifest pride. Hath thine outward splendour made thee vainglorious? By Him Who is the Lord of mankind! It shall soon perish, and thy daughters and thy widows and all the kindreds that dwell within thee shall lament. Thus informeth thee the All-Knowing, the All-Wise. O banks of the Rhine! We have seen you covered with gore, inasmuch as the swords of retribution were drawn against you; and you shall have another turn. And We hear the lamentations of Berlin, though she be today in conspicuous glory. Let nothing grieve thee, O Land of Tá,(2) for God hath chosen thee to be the source of the joy of all mankind. He shall, if it be His Will, bless thy throne with one who will rule with justice, who will gather together the flock of God which the wolves have scattered. Such a ruler will, with joy and gladness, turn his face towards, and extend his favours unto, the people of Bahá. He indeed is accounted in the sight of God as a jewel among men. Upon him rest forever the glory of God and the glory of all that dwell in the kingdom of His revelation."
90-92,"O banks of the Rhine! We have seen you covered with gore, inasmuch as the swords of retribution were drawn against you; and you shall have another turn. And We hear the lamentations of Berlin, though she be today in conspicuous glory. Let nothing grieve thee, O Land of Tá,(2) for God hath chosen thee to be the source of the joy of all mankind. He shall, if it be His Will, bless thy throne with one who will rule with justice, who will gather together the flock of God which the wolves have scattered. Such a ruler will, with joy and gladness, turn his face towards, and extend his favours unto, the people of Bahá. He indeed is accounted in the sight of God as a jewel among men. Upon him rest forever the glory of God and the glory of all that dwell in the kingdom of His revelation. Rejoice with great joy, for God hath made thee ""the Dayspring of His light"", inasmuch as within thee was born the Manifestation of His Glory. Be thou glad for this name that hath been conferred upon thee—a name through which the Day-Star of grace hath shed its splendour, through which both earth and heaven have been illumined."
91-93,"Let nothing grieve thee, O Land of Tá,(2) for God hath chosen thee to be the source of the joy of all mankind. He shall, if it be His Will, bless thy throne with one who will rule with justice, who will gather together the flock of God which the wolves have scattered. Such a ruler will, with joy and gladness, turn his face towards, and extend his favours unto, the people of Bahá. He indeed is accounted in the sight of God as a jewel among men. Upon him rest forever the glory of God and the glory of all that dwell in the kingdom of His revelation. Rejoice with great joy, for God hath made thee ""the Dayspring of His light"", inasmuch as within thee was born the Manifestation of His Glory. Be thou glad for this name that hath been conferred upon thee—a name through which the Day-Star of grace hath shed its splendour, through which both earth and heaven have been illumined. Erelong will the state of affairs within thee be changed, and the reins of power fall into the hands of the people. Verily, thy Lord is the All-Knowing. His authority embraceth all things. Rest thou assured in the gracious favour of thy Lord. The eye of His loving-kindness shall everlastingly be directed towards thee. The day is approaching when thy agitation will have been transmuted into peace and quiet calm. Thus hath it been decreed in the wondrous Book."
92-94,"Rejoice with great joy, for God hath made thee ""the Dayspring of His light"", inasmuch as within thee was born the Manifestation of His Glory. Be thou glad for this name that hath been conferred upon thee—a name through which the Day-Star of grace hath shed its splendour, through which both earth and heaven have been illumined. Erelong will the state of affairs within thee be changed, and the reins of power fall into the hands of the people. Verily, thy Lord is the All-Knowing. His authority embraceth all things. Rest thou assured in the gracious favour of thy Lord. The eye of His loving-kindness shall everlastingly be directed towards thee. The day is approaching when thy agitation will have been transmuted into peace and quiet calm. Thus hath it been decreed in the wondrous Book. O Land of Ḵẖá!(3) We hear from thee the voice of heroes, raised in glorification of thy Lord, the All-Possessing, the Most Exalted. Blessed the day on which the banners of the divine Names shall be upraised in the kingdom of creation in My Name, the All-Glorious. On that day the faithful shall rejoice in the victory of God, and the disbelievers shall lament."
93-95,"Erelong will the state of affairs within thee be changed, and the reins of power fall into the hands of the people. Verily, thy Lord is the All-Knowing. His authority embraceth all things. Rest thou assured in the gracious favour of thy Lord. The eye of His loving-kindness shall everlastingly be directed towards thee. The day is approaching when thy agitation will have been transmuted into peace and quiet calm. Thus hath it been decreed in the wondrous Book. O Land of Ḵẖá!(3) We hear from thee the voice of heroes, raised in glorification of thy Lord, the All-Possessing, the Most Exalted. Blessed the day on which the banners of the divine Names shall be upraised in the kingdom of creation in My Name, the All-Glorious. On that day the faithful shall rejoice in the victory of God, and the disbelievers shall lament. None must contend with those who wield authority over the people; leave unto them that which is theirs, and direct your attention to men’s hearts."
94-96,"O Land of Ḵẖá!(3) We hear from thee the voice of heroes, raised in glorification of thy Lord, the All-Possessing, the Most Exalted. Blessed the day on which the banners of the divine Names shall be upraised in the kingdom of creation in My Name, the All-Glorious. On that day the faithful shall rejoice in the victory of God, and the disbelievers shall lament. None must contend with those who wield authority over the people; leave unto them that which is theirs, and direct your attention to men’s hearts. O Most Mighty Ocean! Sprinkle upon the nations that with which Thou hast been charged by Him Who is the Sovereign of Eternity, and adorn the temples of all the dwellers of the earth with the vesture of His laws through which all hearts will rejoice and all eyes be brightened."
95-97,"None must contend with those who wield authority over the people; leave unto them that which is theirs, and direct your attention to men’s hearts. O Most Mighty Ocean! Sprinkle upon the nations that with which Thou hast been charged by Him Who is the Sovereign of Eternity, and adorn the temples of all the dwellers of the earth with the vesture of His laws through which all hearts will rejoice and all eyes be brightened. Should anyone acquire one hundred miṯẖqáls of gold, nineteen miṯẖqáls thereof are God’s and to be rendered unto Him, the Fashioner of earth and heaven. Take heed, O people, lest ye deprive yourselves of so great a bounty. This We have commanded you, though We are well able to dispense with you and with all who are in the heavens and on earth; in it there are benefits and wisdoms beyond the ken of anyone but God, the Omniscient, the All-Informed. Say: By this means He hath desired to purify what ye possess and to enable you to draw nigh unto such stations as none can comprehend save those whom God hath willed. He, in truth, is the Beneficent, the Gracious, the Bountiful. O people! Deal not faithlessly with the Right of God, nor, without His leave, make free with its disposal. Thus hath His commandment been established in the holy Tablets, and in this exalted Book. He who dealeth faithlessly with God shall in justice meet with faithlessness himself; he, however, who acteth in accordance with God’s bidding shall receive a blessing from the heaven of the bounty of his Lord, the Gracious, the Bestower, the Generous, the Ancient of Days. He, verily, hath willed for you that which is yet beyond your knowledge, but which shall be known to you when, after this fleeting life, your souls soar heavenwards and the trappings of your earthly joys are folded up. Thus admonisheth you He in Whose possession is the Guarded Tablet."
96-98,"O Most Mighty Ocean! Sprinkle upon the nations that with which Thou hast been charged by Him Who is the Sovereign of Eternity, and adorn the temples of all the dwellers of the earth with the vesture of His laws through which all hearts will rejoice and all eyes be brightened. Should anyone acquire one hundred miṯẖqáls of gold, nineteen miṯẖqáls thereof are God’s and to be rendered unto Him, the Fashioner of earth and heaven. Take heed, O people, lest ye deprive yourselves of so great a bounty. This We have commanded you, though We are well able to dispense with you and with all who are in the heavens and on earth; in it there are benefits and wisdoms beyond the ken of anyone but God, the Omniscient, the All-Informed. Say: By this means He hath desired to purify what ye possess and to enable you to draw nigh unto such stations as none can comprehend save those whom God hath willed. He, in truth, is the Beneficent, the Gracious, the Bountiful. O people! Deal not faithlessly with the Right of God, nor, without His leave, make free with its disposal. Thus hath His commandment been established in the holy Tablets, and in this exalted Book. He who dealeth faithlessly with God shall in justice meet with faithlessness himself; he, however, who acteth in accordance with God’s bidding shall receive a blessing from the heaven of the bounty of his Lord, the Gracious, the Bestower, the Generous, the Ancient of Days. He, verily, hath willed for you that which is yet beyond your knowledge, but which shall be known to you when, after this fleeting life, your souls soar heavenwards and the trappings of your earthly joys are folded up. Thus admonisheth you He in Whose possession is the Guarded Tablet. Various petitions have come before Our throne from the believers, concerning laws from God, the Lord of the seen and the unseen, the Lord of all worlds. We have, in consequence, revealed this Holy Tablet and arrayed it with the mantle of His Law that haply the people may keep the commandments of their Lord. Similar requests had been made of Us over several previous years but We had, in Our wisdom, withheld Our Pen until, in recent days, letters arrived from a number of the friends, and We have therefore responded, through the power of truth, with that which shall quicken the hearts of men."
97-99,"Should anyone acquire one hundred miṯẖqáls of gold, nineteen miṯẖqáls thereof are God’s and to be rendered unto Him, the Fashioner of earth and heaven. Take heed, O people, lest ye deprive yourselves of so great a bounty. This We have commanded you, though We are well able to dispense with you and with all who are in the heavens and on earth; in it there are benefits and wisdoms beyond the ken of anyone but God, the Omniscient, the All-Informed. Say: By this means He hath desired to purify what ye possess and to enable you to draw nigh unto such stations as none can comprehend save those whom God hath willed. He, in truth, is the Beneficent, the Gracious, the Bountiful. O people! Deal not faithlessly with the Right of God, nor, without His leave, make free with its disposal. Thus hath His commandment been established in the holy Tablets, and in this exalted Book. He who dealeth faithlessly with God shall in justice meet with faithlessness himself; he, however, who acteth in accordance with God’s bidding shall receive a blessing from the heaven of the bounty of his Lord, the Gracious, the Bestower, the Generous, the Ancient of Days. He, verily, hath willed for you that which is yet beyond your knowledge, but which shall be known to you when, after this fleeting life, your souls soar heavenwards and the trappings of your earthly joys are folded up. Thus admonisheth you He in Whose possession is the Guarded Tablet. Various petitions have come before Our throne from the believers, concerning laws from God, the Lord of the seen and the unseen, the Lord of all worlds. We have, in consequence, revealed this Holy Tablet and arrayed it with the mantle of His Law that haply the people may keep the commandments of their Lord. Similar requests had been made of Us over several previous years but We had, in Our wisdom, withheld Our Pen until, in recent days, letters arrived from a number of the friends, and We have therefore responded, through the power of truth, with that which shall quicken the hearts of men. Say: O leaders of religion! Weigh not the Book of God with such standards and sciences as are current amongst you, for the Book itself is the unerring Balance established amongst men. In this most perfect Balance whatsoever the peoples and kindreds of the earth possess must be weighed, while the measure of its weight should be tested according to its own standard, did ye but know it."
98-100,"Various petitions have come before Our throne from the believers, concerning laws from God, the Lord of the seen and the unseen, the Lord of all worlds. We have, in consequence, revealed this Holy Tablet and arrayed it with the mantle of His Law that haply the people may keep the commandments of their Lord. Similar requests had been made of Us over several previous years but We had, in Our wisdom, withheld Our Pen until, in recent days, letters arrived from a number of the friends, and We have therefore responded, through the power of truth, with that which shall quicken the hearts of men. Say: O leaders of religion! Weigh not the Book of God with such standards and sciences as are current amongst you, for the Book itself is the unerring Balance established amongst men. In this most perfect Balance whatsoever the peoples and kindreds of the earth possess must be weighed, while the measure of its weight should be tested according to its own standard, did ye but know it. The eye of My loving-kindness weepeth sore over you, inasmuch as ye have failed to recognize the One upon Whom ye have been calling in the daytime and in the night season, at even and at morn. Advance, O people, with snow-white faces and radiant hearts, unto the blest and crimson Spot, wherein the Sadratu’l-Muntahá is calling: ""Verily, there is none other God beside Me, the Omnipotent Protector, the Self-Subsisting!"""
99-101,"Say: O leaders of religion! Weigh not the Book of God with such standards and sciences as are current amongst you, for the Book itself is the unerring Balance established amongst men. In this most perfect Balance whatsoever the peoples and kindreds of the earth possess must be weighed, while the measure of its weight should be tested according to its own standard, did ye but know it. The eye of My loving-kindness weepeth sore over you, inasmuch as ye have failed to recognize the One upon Whom ye have been calling in the daytime and in the night season, at even and at morn. Advance, O people, with snow-white faces and radiant hearts, unto the blest and crimson Spot, wherein the Sadratu’l-Muntahá is calling: ""Verily, there is none other God beside Me, the Omnipotent Protector, the Self-Subsisting!"" O ye leaders of religion! Who is the man amongst you that can rival Me in vision or insight? Where is he to be found that dareth to claim to be My equal in utterance or wisdom? No, by My Lord, the All-Merciful! All on the earth shall pass away; and this is the face of your Lord, the Almighty, the Well-Beloved."
100-102,"The eye of My loving-kindness weepeth sore over you, inasmuch as ye have failed to recognize the One upon Whom ye have been calling in the daytime and in the night season, at even and at morn. Advance, O people, with snow-white faces and radiant hearts, unto the blest and crimson Spot, wherein the Sadratu’l-Muntahá is calling: ""Verily, there is none other God beside Me, the Omnipotent Protector, the Self-Subsisting!"" O ye leaders of religion! Who is the man amongst you that can rival Me in vision or insight? Where is he to be found that dareth to claim to be My equal in utterance or wisdom? No, by My Lord, the All-Merciful! All on the earth shall pass away; and this is the face of your Lord, the Almighty, the Well-Beloved. We have decreed, O people, that the highest and last end of all learning be the recognition of Him Who is the Object of all knowledge; and yet, behold how ye have allowed your learning to shut you out, as by a veil, from Him Who is the Dayspring of this Light, through Whom every hidden thing hath been revealed. Could ye but discover the source whence the splendour of this utterance is diffused, ye would cast away the peoples of the world and all that they possess, and would draw nigh unto this most blessed Seat of glory."
101-103,"O ye leaders of religion! Who is the man amongst you that can rival Me in vision or insight? Where is he to be found that dareth to claim to be My equal in utterance or wisdom? No, by My Lord, the All-Merciful! All on the earth shall pass away; and this is the face of your Lord, the Almighty, the Well-Beloved. We have decreed, O people, that the highest and last end of all learning be the recognition of Him Who is the Object of all knowledge; and yet, behold how ye have allowed your learning to shut you out, as by a veil, from Him Who is the Dayspring of this Light, through Whom every hidden thing hath been revealed. Could ye but discover the source whence the splendour of this utterance is diffused, ye would cast away the peoples of the world and all that they possess, and would draw nigh unto this most blessed Seat of glory. Say: This, verily, is the heaven in which the Mother Book is treasured, could ye but comprehend it. He it is Who hath caused the Rock to shout, and the Burning Bush to lift up its voice, upon the Mount rising above the Holy Land, and proclaim: ""The Kingdom is God’s, the sovereign Lord of all, the All-Powerful, the Loving!"""
102-104,"We have decreed, O people, that the highest and last end of all learning be the recognition of Him Who is the Object of all knowledge; and yet, behold how ye have allowed your learning to shut you out, as by a veil, from Him Who is the Dayspring of this Light, through Whom every hidden thing hath been revealed. Could ye but discover the source whence the splendour of this utterance is diffused, ye would cast away the peoples of the world and all that they possess, and would draw nigh unto this most blessed Seat of glory. Say: This, verily, is the heaven in which the Mother Book is treasured, could ye but comprehend it. He it is Who hath caused the Rock to shout, and the Burning Bush to lift up its voice, upon the Mount rising above the Holy Land, and proclaim: ""The Kingdom is God’s, the sovereign Lord of all, the All-Powerful, the Loving!"" We have not entered any school, nor read any of your dissertations. Incline your ears to the words of this unlettered One, wherewith He summoneth you unto God, the Ever-Abiding. Better is this for you than all the treasures of the earth, could ye but comprehend it."
103-105,"Say: This, verily, is the heaven in which the Mother Book is treasured, could ye but comprehend it. He it is Who hath caused the Rock to shout, and the Burning Bush to lift up its voice, upon the Mount rising above the Holy Land, and proclaim: ""The Kingdom is God’s, the sovereign Lord of all, the All-Powerful, the Loving!"" We have not entered any school, nor read any of your dissertations. Incline your ears to the words of this unlettered One, wherewith He summoneth you unto God, the Ever-Abiding. Better is this for you than all the treasures of the earth, could ye but comprehend it. Whoso interpreteth what hath been sent down from the heaven of Revelation, and altereth its evident meaning, he, verily, is of them that have perverted the Sublime Word of God, and is of the lost ones in the Lucid Book."
104-106,"We have not entered any school, nor read any of your dissertations. Incline your ears to the words of this unlettered One, wherewith He summoneth you unto God, the Ever-Abiding. Better is this for you than all the treasures of the earth, could ye but comprehend it. Whoso interpreteth what hath been sent down from the heaven of Revelation, and altereth its evident meaning, he, verily, is of them that have perverted the Sublime Word of God, and is of the lost ones in the Lucid Book. It hath been enjoined upon you to pare your nails, to bathe yourselves each week in water that covereth your bodies, and to clean yourselves with whatsoever ye have formerly employed. Take heed lest through negligence ye fail to observe that which hath been prescribed unto you by Him Who is the Incomparable, the Gracious. Immerse yourselves in clean water; it is not permissible to bathe yourselves in water that hath already been used. See that ye approach not the public pools of Persian baths; whoso maketh his way toward such baths will smell their fetid odour ere he entereth therein. Shun them, O people, and be not of those who ignominiously accept such vileness. In truth, they are as sinks of foulness and contamination, if ye be of them that apprehend. Avoid ye likewise the malodorous pools in the courtyards of Persian homes, and be ye of the pure and sanctified. Truly, We desire to behold you as manifestations of paradise on earth, that there may be diffused from you such fragrance as shall rejoice the hearts of the favoured of God. If the bather, instead of entering the water, wash himself by pouring it upon his body, it shall be better for him and shall absolve him of the need for bodily immersion. The Lord, verily, hath willed, as a bounty from His presence, to make life easier for you that ye may be of those who are truly thankful."
105-107,"Whoso interpreteth what hath been sent down from the heaven of Revelation, and altereth its evident meaning, he, verily, is of them that have perverted the Sublime Word of God, and is of the lost ones in the Lucid Book. It hath been enjoined upon you to pare your nails, to bathe yourselves each week in water that covereth your bodies, and to clean yourselves with whatsoever ye have formerly employed. Take heed lest through negligence ye fail to observe that which hath been prescribed unto you by Him Who is the Incomparable, the Gracious. Immerse yourselves in clean water; it is not permissible to bathe yourselves in water that hath already been used. See that ye approach not the public pools of Persian baths; whoso maketh his way toward such baths will smell their fetid odour ere he entereth therein. Shun them, O people, and be not of those who ignominiously accept such vileness. In truth, they are as sinks of foulness and contamination, if ye be of them that apprehend. Avoid ye likewise the malodorous pools in the courtyards of Persian homes, and be ye of the pure and sanctified. Truly, We desire to behold you as manifestations of paradise on earth, that there may be diffused from you such fragrance as shall rejoice the hearts of the favoured of God. If the bather, instead of entering the water, wash himself by pouring it upon his body, it shall be better for him and shall absolve him of the need for bodily immersion. The Lord, verily, hath willed, as a bounty from His presence, to make life easier for you that ye may be of those who are truly thankful. It is forbidden you to wed your fathers’ wives. We shrink, for very shame, from treating of the subject of boys. Fear ye the Merciful, O peoples of the world! Commit not that which is forbidden you in Our Holy Tablet, and be not of those who rove distractedly in the wilderness of their desires."
106-108,"It hath been enjoined upon you to pare your nails, to bathe yourselves each week in water that covereth your bodies, and to clean yourselves with whatsoever ye have formerly employed. Take heed lest through negligence ye fail to observe that which hath been prescribed unto you by Him Who is the Incomparable, the Gracious. Immerse yourselves in clean water; it is not permissible to bathe yourselves in water that hath already been used. See that ye approach not the public pools of Persian baths; whoso maketh his way toward such baths will smell their fetid odour ere he entereth therein. Shun them, O people, and be not of those who ignominiously accept such vileness. In truth, they are as sinks of foulness and contamination, if ye be of them that apprehend. Avoid ye likewise the malodorous pools in the courtyards of Persian homes, and be ye of the pure and sanctified. Truly, We desire to behold you as manifestations of paradise on earth, that there may be diffused from you such fragrance as shall rejoice the hearts of the favoured of God. If the bather, instead of entering the water, wash himself by pouring it upon his body, it shall be better for him and shall absolve him of the need for bodily immersion. The Lord, verily, hath willed, as a bounty from His presence, to make life easier for you that ye may be of those who are truly thankful. It is forbidden you to wed your fathers’ wives. We shrink, for very shame, from treating of the subject of boys. Fear ye the Merciful, O peoples of the world! Commit not that which is forbidden you in Our Holy Tablet, and be not of those who rove distractedly in the wilderness of their desires. To none is it permitted to mutter sacred verses before the public gaze as he walketh in the street or marketplace; nay rather, if he wish to magnify the Lord, it behoveth him to do so in such places as have been erected for this purpose, or in his own home. This is more in keeping with sincerity and godliness. Thus hath the sun of Our commandment shone forth above the horizon of Our utterance. Blessed, then, be those who do Our bidding."
107-109,"It is forbidden you to wed your fathers’ wives. We shrink, for very shame, from treating of the subject of boys. Fear ye the Merciful, O peoples of the world! Commit not that which is forbidden you in Our Holy Tablet, and be not of those who rove distractedly in the wilderness of their desires. To none is it permitted to mutter sacred verses before the public gaze as he walketh in the street or marketplace; nay rather, if he wish to magnify the Lord, it behoveth him to do so in such places as have been erected for this purpose, or in his own home. This is more in keeping with sincerity and godliness. Thus hath the sun of Our commandment shone forth above the horizon of Our utterance. Blessed, then, be those who do Our bidding. Unto everyone hath been enjoined the writing of a will. The testator should head this document with the adornment of the Most Great Name, bear witness therein unto the oneness of God in the Dayspring of His Revelation, and make mention, as he may wish, of that which is praiseworthy, so that it may be a testimony for him in the kingdoms of Revelation and Creation and a treasure with his Lord, the Supreme Protector, the Faithful."
108-110,"To none is it permitted to mutter sacred verses before the public gaze as he walketh in the street or marketplace; nay rather, if he wish to magnify the Lord, it behoveth him to do so in such places as have been erected for this purpose, or in his own home. This is more in keeping with sincerity and godliness. Thus hath the sun of Our commandment shone forth above the horizon of Our utterance. Blessed, then, be those who do Our bidding. Unto everyone hath been enjoined the writing of a will. The testator should head this document with the adornment of the Most Great Name, bear witness therein unto the oneness of God in the Dayspring of His Revelation, and make mention, as he may wish, of that which is praiseworthy, so that it may be a testimony for him in the kingdoms of Revelation and Creation and a treasure with his Lord, the Supreme Protector, the Faithful. All Feasts have attained their consummation in the two Most Great Festivals, and in the two other Festivals that fall on the twin days—the first of the Most Great Festivals being those days whereon the All-Merciful shed upon the whole of creation the effulgent glory of His most excellent Names and His most exalted Attributes, and the second being that day on which We raised up the One Who announced unto mankind the glad tidings of this Name, through which the dead have been resurrected and all who are in the heavens and on earth have been gathered together. Thus hath it been decreed by Him Who is the Ordainer, the Omniscient."
109-111,"Unto everyone hath been enjoined the writing of a will. The testator should head this document with the adornment of the Most Great Name, bear witness therein unto the oneness of God in the Dayspring of His Revelation, and make mention, as he may wish, of that which is praiseworthy, so that it may be a testimony for him in the kingdoms of Revelation and Creation and a treasure with his Lord, the Supreme Protector, the Faithful. All Feasts have attained their consummation in the two Most Great Festivals, and in the two other Festivals that fall on the twin days—the first of the Most Great Festivals being those days whereon the All-Merciful shed upon the whole of creation the effulgent glory of His most excellent Names and His most exalted Attributes, and the second being that day on which We raised up the One Who announced unto mankind the glad tidings of this Name, through which the dead have been resurrected and all who are in the heavens and on earth have been gathered together. Thus hath it been decreed by Him Who is the Ordainer, the Omniscient. Happy the one who entereth upon the first day of the month of Bahá, the day which God hath consecrated to this Great Name. And blessed be he who evidenceth on this day the bounties that God hath bestowed upon him; he, verily, is of those who show forth thanks to God through actions betokening the Lord’s munificence which hath encompassed all the worlds. Say: This day, verily, is the crown of all the months and the source thereof, the day on which the breath of life is wafted over all created things. Great is the blessedness of him who greeteth it with radiance and joy. We testify that he is, in truth, among those who are blissful."
110-112,"All Feasts have attained their consummation in the two Most Great Festivals, and in the two other Festivals that fall on the twin days—the first of the Most Great Festivals being those days whereon the All-Merciful shed upon the whole of creation the effulgent glory of His most excellent Names and His most exalted Attributes, and the second being that day on which We raised up the One Who announced unto mankind the glad tidings of this Name, through which the dead have been resurrected and all who are in the heavens and on earth have been gathered together. Thus hath it been decreed by Him Who is the Ordainer, the Omniscient. Happy the one who entereth upon the first day of the month of Bahá, the day which God hath consecrated to this Great Name. And blessed be he who evidenceth on this day the bounties that God hath bestowed upon him; he, verily, is of those who show forth thanks to God through actions betokening the Lord’s munificence which hath encompassed all the worlds. Say: This day, verily, is the crown of all the months and the source thereof, the day on which the breath of life is wafted over all created things. Great is the blessedness of him who greeteth it with radiance and joy. We testify that he is, in truth, among those who are blissful. Say: The Most Great Festival is, indeed, the King of Festivals. Call ye to mind, O people, the bounty which God hath conferred upon you. Ye were sunk in slumber, and lo! He aroused you by the reviving breezes of His Revelation, and made known unto you His manifest and undeviating Path."
111-113,"Happy the one who entereth upon the first day of the month of Bahá, the day which God hath consecrated to this Great Name. And blessed be he who evidenceth on this day the bounties that God hath bestowed upon him; he, verily, is of those who show forth thanks to God through actions betokening the Lord’s munificence which hath encompassed all the worlds. Say: This day, verily, is the crown of all the months and the source thereof, the day on which the breath of life is wafted over all created things. Great is the blessedness of him who greeteth it with radiance and joy. We testify that he is, in truth, among those who are blissful. Say: The Most Great Festival is, indeed, the King of Festivals. Call ye to mind, O people, the bounty which God hath conferred upon you. Ye were sunk in slumber, and lo! He aroused you by the reviving breezes of His Revelation, and made known unto you His manifest and undeviating Path. Resort ye, in times of sickness, to competent physicians; We have not set aside the use of material means, rather have We confirmed it through this Pen, which God hath made to be the Dawning-place of His shining and glorious Cause."
112-114,"Say: The Most Great Festival is, indeed, the King of Festivals. Call ye to mind, O people, the bounty which God hath conferred upon you. Ye were sunk in slumber, and lo! He aroused you by the reviving breezes of His Revelation, and made known unto you His manifest and undeviating Path. Resort ye, in times of sickness, to competent physicians; We have not set aside the use of material means, rather have We confirmed it through this Pen, which God hath made to be the Dawning-place of His shining and glorious Cause. God had formerly laid upon each one of the believers the duty of offering before Our throne priceless gifts from among his possessions. Now, in token of Our gracious favour, We have absolved them of this obligation. He, of a truth, is the Most Generous, the All-Bountiful."
113-115,"Resort ye, in times of sickness, to competent physicians; We have not set aside the use of material means, rather have We confirmed it through this Pen, which God hath made to be the Dawning-place of His shining and glorious Cause. God had formerly laid upon each one of the believers the duty of offering before Our throne priceless gifts from among his possessions. Now, in token of Our gracious favour, We have absolved them of this obligation. He, of a truth, is the Most Generous, the All-Bountiful. Blessed is he who, at the hour of dawn, centring his thoughts on God, occupied with His remembrance, and supplicating His forgiveness, directeth his steps to the Mas̱ẖriqu’l-Aḏẖkár and, entering therein, seateth himself in silence to listen to the verses of God, the Sovereign, the Mighty, the All-Praised. Say: The Mas̱ẖriqu’l-Aḏẖkár is each and every building which hath been erected in cities and villages for the celebration of My praise. Such is the name by which it hath been designated before the throne of glory, were ye of those who understand."
114-116,"God had formerly laid upon each one of the believers the duty of offering before Our throne priceless gifts from among his possessions. Now, in token of Our gracious favour, We have absolved them of this obligation. He, of a truth, is the Most Generous, the All-Bountiful. Blessed is he who, at the hour of dawn, centring his thoughts on God, occupied with His remembrance, and supplicating His forgiveness, directeth his steps to the Mas̱ẖriqu’l-Aḏẖkár and, entering therein, seateth himself in silence to listen to the verses of God, the Sovereign, the Mighty, the All-Praised. Say: The Mas̱ẖriqu’l-Aḏẖkár is each and every building which hath been erected in cities and villages for the celebration of My praise. Such is the name by which it hath been designated before the throne of glory, were ye of those who understand. They who recite the verses of the All-Merciful in the most melodious of tones will perceive in them that with which the sovereignty of earth and heaven can never be compared. From them they will inhale the divine fragrance of My worlds—worlds which today none can discern save those who have been endowed with vision through this sublime, this beauteous Revelation. Say: These verses draw hearts that are pure unto those spiritual worlds that can neither be expressed in words nor intimated by allusion. Blessed be those who hearken."
115-117,"Blessed is he who, at the hour of dawn, centring his thoughts on God, occupied with His remembrance, and supplicating His forgiveness, directeth his steps to the Mas̱ẖriqu’l-Aḏẖkár and, entering therein, seateth himself in silence to listen to the verses of God, the Sovereign, the Mighty, the All-Praised. Say: The Mas̱ẖriqu’l-Aḏẖkár is each and every building which hath been erected in cities and villages for the celebration of My praise. Such is the name by which it hath been designated before the throne of glory, were ye of those who understand. They who recite the verses of the All-Merciful in the most melodious of tones will perceive in them that with which the sovereignty of earth and heaven can never be compared. From them they will inhale the divine fragrance of My worlds—worlds which today none can discern save those who have been endowed with vision through this sublime, this beauteous Revelation. Say: These verses draw hearts that are pure unto those spiritual worlds that can neither be expressed in words nor intimated by allusion. Blessed be those who hearken. Assist ye, O My people, My chosen servants who have arisen to make mention of Me among My creatures and to exalt My Word throughout My realm. These, truly, are the stars of the heaven of My loving providence and the lamps of My guidance unto all mankind. But he whose words conflict with that which hath been sent down in My Holy Tablets is not of Me. Beware lest ye follow any impious pretender. These Tablets are embellished with the seal of Him Who causeth the dawn to appear, Who lifteth up His voice between the heavens and the earth. Lay hold on this Sure Handle and on the Cord of My mighty and unassailable Cause."
