Chapter,PageStart,Verse,Text
XVII,234,44b,"beings equal to the number of particles in the eightfold great manifold cosmos, in all of whom the thought of highest, complete enlightenment had awakened.” When the Buddha explained that these bodhisattva mahāsattvas had attained deep insight into the Dharma, māndārava and great māndārava ﬂowers rained down from the sky, scattering over the buddhas who were seated on lion seats under immeasurable hundreds of thousands of myriads of koṭis of jeweled trees; and they scattered over Śākyamuni Buddha and the Tathāgata Prabhūtaratna, who had attained parinirvāṇa long ago, both of whom were sitting on the lion seat in a seven-jeweled stupa; they also scattered over all of the great bodhisattvas and the fourfold assembly. Finely powdered sandalwood and aloeswood incense also rained down, and heavenly drums resounded in the sky with a deep and beautiful sound. One thousand kinds of heavenly garments, draped with strings of pearl, jewels, and wish-fulﬁlling gems (maṇi), rained down, ﬁlling the nine directions. Priceless incense burned in various jeweled incense holders, and its fragrance spread spontaneously throughout the great assembly as an offering. Above each buddha there were bodhisattvas holding banners and umbrellas that extended upward to the Brahma world. These bodhisattvas praised the buddhas by singing immeasurable verses with beautiful voices. Then Bodhisattva Maitreya rose from his seat, leaving his right shoulder bared, faced the Buddha with the palms of his hands pressed together, and spoke these verses: The Buddha has taught this marvelous Dharma That we have never heard before. The Bhagavat has great powers And his lifespan is immeasurable. Innumerable heirs of the Buddha Attained the beneﬁt of the Dharma After hearing the Bhagavat’s explanation, And became completely ﬁlled with joy. Some attained the stage of nonretrogression, And others the power of recollection. Some attained unhindered eloquence, And others the power of tenacious memory Which revolves many koṭis of times. There were also bodhisattvas, Equal to the number of particles In the great cosmos, Who each turned the irreversible wheel Of the Dharma. There were also bodhisattvas, Equal to the number of particles In a medium cosmos, Who each turned the puriﬁed Wheel of the Dharma. There were also bodhisattvas, Equal to the number of particles In a small cosmos, Who after eight births Will complete the buddha path. There were also bodhisattvas, Equal to four times, three times, And two times the number of particles In the four continents, Who after four, three, and two births Will attain buddhahood. There were also bodhisattvas, Equal to the number of particles In the four continents, Who will obtain omniscience After one birth; And sentient beings, having heard about The great length of the Buddha’s lifespan, Attained immeasurable results That were pure and without corruption. There were also sentient beings, Equal to the number of particles In the eight worlds, In whom, having heard about the lifespan of the Buddha, The thought of highest enlightenment awakened. The Bhagavat has taught the Dharma That is immeasurable and inconceivable, And from which come beneﬁts As limitless as space. Heavenly māndārava And great māndārava ﬂowers rained down; And Śakras and Brahmas Came from innumerable buddha lands, Equal in number to the sands of the Ganges River. Sandalwood and aloeswood powder, Scattered like birds in the sky Flying in all directions, And rained down over the buddhas. Heavenly drums resounded spontaneously And beautifully in the air; And thousands of myriads of koṭis Of heavenly garments ﬂoated whirling down. Precious incense was burned In various jeweled incense holders, Its fragrance naturally penetrating everywhere, In homage to the Bhagavats. The great assembly of these bodhisattvas Held myriads of koṭis of tall and beautiful Seven-jeweled banners and umbrellas, Which extended gradually to the Brahma world. They hung jeweled ﬂags and excellent banners In the presence of each of these buddhas, And chanted thousands of myriads of verses In praise of the Tathāgatas. Such things had never been Experienced before. Hearing of the Buddha’s Immeasurable lifespan, all rejoiced; And, the Buddha’s name being heard"
XVII,236,44c,"Throughout the ten directions, Sentient beings were greatly beneﬁted. Everyone became endowed With the roots of good merit, And the thought of highest, complete enlightenment Awakened in them. At that time the Buddha addressed Bodhisattva Mahāsattva Maitreya, saying: “O Ajita! Those sentient beings who hear about the great length of the Buddha’s lifespan, and can awaken even a single thought of willing acceptance, will all obtain immeasurable merit. If there are sons and daughters of a good family who, for the sake of highest, complete enlightenment, practice the ﬁve perfections of giving (dāna), good conduct (śīla), perseverance (kṣānti), effort (vīrya), and meditation (dhyāna), with the exception of the perfection of wisdom (prajñā), for eighty myriads of koṭis of nayutas of kalpas, their merit is not even a hundredth, a thousandth, a hundred thousandth of a myriad of a koṭi of the former person’s merit. It is so small that it cannot be conceived of through calculation or illustration. If there are sons and daughters of a virtuous family who possess such merit as the former, they will never revert from highest, complete enlightenment.” Thereupon the Bhagavat, wanting to elaborate on the meaning of this further, spoke these verses: Those who seek the Buddha’s wisdom Will practice the ﬁve perfections For eighty myriads of koṭis Of nayutas of kalpas. Throughout these kalpas they will pay homage to The buddhas, pratyekabuddhas, śrāvakas, And all the bodhisattvas by offering Rare delicacies, excellent garments, and bedding, Or by building monasteries out of sandalwood Which are adorned with gardens. Through offering such a variety of precious things Throughout all of these kalpas, They will transfer the merits to the buddha path. Those who further maintain good conduct, Which is pure and without corruption, Will seek what the buddhas Have praised as the highest path. Those who further practice perseverance And abide in the stage of self-control, Will be of constant mind, Even if subjected to ill-treatment. They will continue to endure Even if they are scorned and persecuted By those who think, through their excessive pride, That they have attained the truth. Those who make diligent efforts And are ﬁrm in their intentions For immeasurable koṭis of kalpas Will be intent and never lazy; And those who abide in tranquil places For immeasurable kalpas Will always discipline their minds, avoiding sleep, While either sitting or wandering. For these reasons they will Abide in various meditations, Their minds ﬁrm and unwavering, For eighty myriads of koṭis of kalpas. Maintaining the merit of this concentration They seek the highest path saying: I will attain omniscience. Then they will achieve This perfection of meditation. Practicing thus for hundreds of thousands Of myriads of koṭis of kalpas, Their merits will be as mentioned above. If those sons and daughters of a virtuous family, Upon hearing me explain about my lifespan In this way, are able to awaken Even a single thought of willing acceptance, Their merit exceeds that of the former. Such will also be the merit Of those who have no doubts whatsoever And believe deeply even for a single moment. Those bodhisattvas who practice the path For a period of immeasurable kalpas, And who believe my explanation of my lifespan When they hear it, are the ones Who fully accept this sutra, Saying:"
XVII,239,45b,"Let us in the future devote a long life To saving sentient beings! Just as the present Bhagavat, King among the Śākyas, who roars the lion’s roar On the terrace of enlightenment, Is fearless in teaching the Dharma, Let us in the future be respected by all And teach of the lifespan While seated upon the terrace of enlightenment. Those who have profound thoughts, are pure, Honest and learned, have good recollection, And understand the Buddha’s words in accordance With what is appropriate, Will have no doubts regarding this. “Furthermore, O Ajita, those who hear of the great length of the Buddha’s lifespan and understand the intent of these words will obtain limitless merit that will give rise to the highest wisdom of the Tathāgata. How much more merit will they gain who extensively hear this sutra, move others to listen to it, preserve it, move others to preserve it, copy it, or move others to copy it; and pay homage to the sutra by offering ﬂowers, incense, necklaces, ﬂags, banners, canopies, lamps of scented oil, and ghee! The merit of these people will be immeasurable and limitless. They will be able to achieve omniscience."
XVII,240,45c,"“O Ajita! Those sons and daughters of a virtuous family, who, hearing me teach the great length of the Buddha’s lifespan, wholeheartedly accept it, will see the Buddha, who always dwells on Mount Gṛdhrakūṭa together with the great bodhisattvas and śrāvakas, teaching the Dharma to the assembly. Moreover, they will see the land of this sahā world, which is made of lapis lazuli, level and even. The network of roads is laid out like a chessboard, paved with Jambūnāda gold and bordered with jeweled trees. All its foundations, towers, and balconies will be made of treasures and the multitude of these bodhisattvas will be dwelling in them. Those who can see such things should know that to be able to do so is a sign of their full and willing acceptance. “Furthermore, after the Tathāgata’s parinirvāṇa, those who hear this sutra do not disparage it and rejoice in their hearts, should know that this is a sign of their full and willing acceptance. How much more do those who recite and preserve this sutra show a sign of full and willing acceptance! Such are the people who hold the Tathāgata in respect. “O Ajita! These sons and daughters of a virtuous family do not have to build stupas and monasteries for me, make chambers for the monks, or pay homage to the sangha with the four kinds of offerings. Why is this? Because these sons and daughters of a virtuous family recite and preserve this sutra, which means they have already built stupas, made chambers for the monks, and paid homage to the sangha. They have already erected seven-jeweled stupas for the Buddha’s relics, which are tall and wide, gradually narrowing to a pinnacle that reaches to the Brahma world. They have hung various banners, canopies, and variegated jeweled bells; offered ﬂowers, incense, necklaces, scented powder, and ointment; burned incense; played drums, music, ﬂutes, pipes, harps, and various dances; and adorned the stupas and relics of the Buddha by praising with verses and songs in beautiful voices. In this way they have already paid homage for immeasurable thousands of myriads of koṭis of kalpas. “O Ajita! After my parinirvāṇa, those who hear this sutra and who can preserve it, copy it and move others to copy it, have already built chambers for monks, as well as thirty-two red sandalwood monasteries of the height of eight tāla trees, wide and ﬁne, housing hundreds of thousands of monks. The monasteries they have built have gardens, ponds, paths for wandering, meditation caves, garments, food and drink, bedding, medicine, and are replete with all other necessities. Such hundreds of thousands of myriads of koṭis of monks’ chambers and towers will be incalculable. With these they pay homage to me and to the assembly of monks. “I have explained that, for this reason, after the Tathāgata’s parinirvāṇa those who preserve and recite this sutra, and explain it to others, who copy it or move others to copy it and who pay it homage to it no longer have to build stupas, monasteries, or erect chambers for the monks, or revere the sangha. How much less do those who preserve this sutra and practice the perfections of giving (dāna), good conduct (śīla), perseverance (kṣānti), effort (vīrya), meditation (dhyāna), and wisdom (prajñā) need to do so! Their merit is the highest, immeasurable and limitless. It is immeasurable and limitless in the same way that space is immeasurable and limitless in the ten directions—east, west, south, north, the four intermediate directions, and the zenith and nadir—and they will thus quickly obtain omniscience. “Those who recite and preserve this sutra, who explain it for others, who copy it or move others to copy it, build monuments and make chambers for monks, revere and praise the sangha of śrāvakas, and praise the merits of the bodhisattvas in hundreds of thousands of myriads of koṭis of ways; those who explain this Lotus Sutra for the sake of others in accordance with its meaning through various illustrations, who preserve pure conduct and dwell together with gentle people, who are patient and have no anger, are ﬁrm in their intentions and always hold meditation in high regard, who attain profound samādhi and make vigorous efforts, persevere in all good practices, whose wisdom is keen and who answer difficult questions skillfully; O Ajita! Those sons and daughters of a virtuous family, who preserve and recite this sutra after my parinirvāṇa will attain good qualities like those mentioned above. You should know that such people have already set out for the terrace of enlightenment, are near to highest, complete enlightenment, and are seated under the bodhi tree. “O Ajita! Wherever these sons and daughters of a virtuous family sit, stand, or walk, there a monument should be built; and all of the devas and humans should pay homage to these monuments as they would do to those of the Buddha.” Thereupon the Bhagavat, wanting to elaborate on the meaning of this further, spoke these verses:"
XVII,242,46a,"If after my parinirvāṇa there are people Who preserve this sutra, They will have immeasurable merits As described above. Such people have already given Various kinds of offerings: They have built stupas for the relics, Adorned with the seven treasures, With a pole on the top which is very tall and thick, Gradually tapering upward, Until it reaches the Brahma world. These stupas have been adorned With thousands of myriads of koṭis of jeweled bells That ring with beautiful sounds as the wind blows. For immeasurable kalpas such people Have revered these stupas By offering ﬂowers, incense, necklaces, Heavenly garments, and various kinds of music, While burning scented ointments and butter-oil lamps Which illuminate them on all sides. In the troubled world of the Decadent Dharma, Those who preserve this sutra Will have already ﬁnished paying homage In the way just described. If they can preserve this sutra It will be as if they had paid homage In the presence of the Buddha; And had built monasteries for monks Out of sandalwood from Mount Oxhead, And thirty-two buildings as tall As eight tāla trees; and offered delicious food, Excellent garments, bedding, hundreds of Thousands of dwellings, gardens, ponds, Paths for wandering, and meditation caves All of ﬁne quality. Those who have the thought of willing acceptance, Who preserve, recite, copy, Or move others to copy this sutra, And who pay it homage By scattering ﬂowers, incense, and scented powders on it, And by constantly lighting lamps of Fragrant oil made from sumanas ﬂowers, Campaka wood, and atimukta grass; Those who pay it homage in this way Will attain immeasurable merit. Their merit will be as limitless As empty space. How much more is the merit Of those who preserve this sutra, Who carry out the practice of giving (dāna), Good conduct (śīla), perseverance (kṣānti), and meditation (dhyāna), Who never get angry or slander others, Who honor monuments And are humble before monks, And who are free from pride, Always contemplate wisdom, Never get angry at difficult questions, And teach in accordance With the questioner’s capacity! If there is anyone Who can carry out these practices, Their merit will be immeasurable. If one were to see such an expounder of the Dharma Who has perfected merits like these, One should scatter heavenly ﬂowers over him And provide him with heavenly garments, Bow until one’s forehead touches his feet, And think of him as if he were a buddha. Furthermore, one should think That before long the expounder of the Dharma"
XVIII,244,46b,"Will approach the terrace of enlightenment, Attain the unconditioned state of noncorruption, And extensively beneﬁt devas and humans. Wherever he dwells, walks, or sits, Or recites even a single verse, A stupa should be built, Made beautiful with adornments, And paid homage in various ways. Wherever the heirs of the Buddha may reside, There the Buddha himself will take pleasure in its use And will always be dwelling, Walking, and sitting within. The Merits of Joyful Acceptance Thereupon Bodhisattva Mahāsattva Maitreya addressed the Buddha, saying: “O Bhagavat! If sons and daughters of a virtuous family rejoice in hearing this sutra, how much merit do they acquire?” And he spoke in verse, saying: After the Bhagavat’s parinirvāṇa, If there is anyone who hears this sutra And rejoices in it, How much merit do they acquire? Then the Buddha addressed Bodhisattva Mahāsattva Maitreya, saying: “O Ajita! After the Tathāgata’s parinirvāṇa, suppose those monks, nuns, laymen, and laywomen and other wise ones, whether old or young, having rejoiced in hearing this sutra, take leave of the Dharma assembly and go to other places—either dwelling in monasteries or tranquil places, cities, towns, villages, or forests—and teach what they have heard to their parents, relatives, good friends, and acquaintances according to the various capacities of these people. Having heard the teaching, they will rejoice and go on to teach it to others. These people having heard it will also joyfully teach it to others in turn, and so it continues in this way until it reaches the ﬁftieth person. “O Ajita! I will now explain about the merit which this ﬁftieth son or daughter of a virtuous family acquires from joyful acceptance. You should listen attentively! “Suppose that in the four hundreds of myriads of koṭis of incalculable worlds, there are sentient beings in the six transmigratory states and of the four modes of birth—born from an egg, born from the womb, from moisture, or born spontaneously—either with or without form, either with or without consciousness, either unconscious or not unconscious, having no legs, two, four, or many legs; and that, among the number of such beings, there is a person who seeks to acquire merit and gives pleasurable things to"
XVIII,246,46c,"these beings, according to their desire. He gives each of those sentient beings gold, silver, lapis lazuli, mother-of-pearl, agate, coral, amber, and other treasures such as would ﬁll this continent of Jambudvīpa, as well as elephant carts, horse carts, and palaces and towers made out of the seven treasures. Having performed such acts of giving for a full eighty years, this great donor thinks: I have already given these sentient beings such pleasurable things as they wished. Yet now these sentient beings are old and feeble. They are over eighty years old, with white hair and wrinkles, and they will die before long. I should now instruct them by means of the Buddha-Dharma. “He immediately gathers these sentient beings together, inspires them by proclaiming the Dharma, and gladdens them by revealing its beneﬁts. In an instant they all successively attain the ﬁrst stage of the śrāvakas called stream-winner (srota-āpanna), the second stage called once-returner (sakṛdāgāmin) the third stage called non-returner (anāgāmin), and ﬁnally the stage of the arhat, free from corruption, entering profound meditations, gaining complete mastery of all, and attaining the eight liberations. “What do you think about this? Has this great donor acquired abundant merit or not?” Maitreya addressed the Buddha, saying: “O Bhagavat! The donor’s merit is extremely great, immeasurable and limitless. Even if this donor had only given all those pleasurable things to sentient beings, the merit would have been immeasurable. How much greater is this donor’s merit after having caused them to attain arhatship!” The Buddha addressed Maitreya, saying: “I will now clarify this for you. This person has given all these pleasurable things to the sentient beings in the six states of existence in four hundreds of myriads of koṭis of incalculable worlds, and enabled them to attain arhatship. The merit he has attained cannot be compared with that of even the ﬁftieth person who, after hearing even a single verse of the Lotus Sutra, received it with joy. It would be even less than a hundredth, a thousandth, a hundred thousandth of a myriad of a koṭi of that person’s merit. “O Ajita! In this way the merit attained by even the ﬁftieth person who rejoiced in hearing this Lotus Sutra is immeasurable, limitless, and incalcu- lable. How much more so is the merit of the ﬁrst person who heard it in the assembly and rejoiced in it! His merit is even greater, it is immeasurable, limitless, and incalculable, and is not to be apprehended through metaphor. “Furthermore, O Ajita, if anyone approaches the monasteries in order to listen to this sutra and hears it for even a single moment, whether seated or standing, through this merit they will be reborn into a place where they will gain beautiful and excellent elephant carts, horse carts, palanquins made out of rare treasures, and will ride on a heavenly vehicle. Moreover, if anyone sits in a place where the Dharma is taught, and if another comes along and they invite that person to sit down and listen, or if they offer that person part of their own seat, through this merit they will be reborn in the place where Śakra dwells, in the place where Brahmas dwell, or in a place where a noble emperor dwells. “O Ajita! If anyone addresses others, saying: There is a sutra called the Lotus Sutra. Let us go together and listen to it! “And if their instruction is accepted and the other person listens to it for even a single moment, then through this merit the former person will be reborn in the same place as the bodhisattva who has acquired the dhāraṇīs. They will have keen faculties and wisdom. For hundreds and thousands of myriads of lives they will never be deaf and dumb; nor will they have fetid breath. Their tongues will never be diseased, nor will they have diseases of the mouth. Their teeth will never be dirty, black, or yellow, nor gapped; nor will any be missing, irregular, or crooked. Their lips will not be drooping, pursed, or twisted; and their lips will never have cankers, scabs, be cracked, misshapen, thick or fat, black, or ugly. They will have no disagreeable features. Their noses will never be ﬂat or thin, crooked or twisted. They will never be dark-complected, with a narrow or long face that is hollow-cheeked or twisted. They will have no mark that is displeasing to others. Their lips, tongues, and teeth will all be very beautiful. Their noses will be long, high, and straight. Their faces will be round, their eyebrows arched and long. Their foreheads will be broad and even. They will thus have a perfect human countenance. Wherever they may be born, life after life, they will meet a buddha, hear the Dharma, and accept the teaching."
XVIII,248,47a,"“Look, O Ajita! The merit of that person who moved others to listen to the Dharma is like this. How much more is the merit of those who singlemindedly listen, teach, and recite the sutra, explain it for others in the great assembly, and practice as they explain to others!” Thereupon the Bhagavat, wanting to elaborate on the meaning of this further, spoke these verses: If anyone hears this sutra In the Dharma assembly, And joyfully teaches others Even a single verse, And if in this way it is taught from one person To another until it reaches the ﬁftieth one, The merit that this last person will attain Shall be as I will now explain: Suppose there were a great donor Who gave things to an immeasurable number Of people as they wished For a full eighty years. He will see that they are old and feeble, With white hair and wrinkled faces, With gaps between their teeth and withered bodies, And that they will die before long. He will think that he should now Teach them and enable them To attain the fruits Of the buddha path. He will teach nirvana, the True Dharma, Through skillful means, saying:"
XVIII,248,47b,"The world is impermanent Like splashes of water, bubbles, a mirage! The feeling of repulsion for it Should quickly awaken in you! All of them, hearing this teaching, Attain arhatship and perfect The six transcendent powers, the three sciences, And the eight liberations. The merit of the ﬁftieth person Who joyfully hears a single verse Is so much greater than this great donor’s That it is beyond illustration. The merit of those who successively hear The Lotus Sutra in this way is immeasurable. How much more is the merit of the ﬁrst person Who heard it with joy amid the Dharma assembly! If there is a person who moves another To listen to the Lotus Sutra, saying: This sutra is profound and difficult to encounter Even in thousands of myriads of koṭis of kalpas. And if this person’s urging is accepted And the other one goes to hear it And listens for a single moment, The merit that the former person will acquire Shall be as I will now explain: Life after life they will have No diseases of the mouth. Their teeth will have no gaps, Nor be yellow or black. Their lips will be neither fat, thick, Or thin; nor will they ever have A disagreeable countenance; And their tongues will never be Dry, black, or short. Their noses will be high, long, and straight. Their foreheads will be broad and even. Their faces will be completely handsome, Pleasing to others who see them. They will never have fetid breath. And their mouths will always emit The fragrance of a blue lotus ﬂower. I will now explain the merit Of the one who approaches the monastery Wanting to hear the Lotus Sutra, And who joyfully listens to it Even for a single moment: Later they will be born among devas and humans And will acquire beautiful elephant and horse carts, And palanquins made out of rare treasures, And will ride on a heavenly vehicle. If one is where the Dharma is taught And invites another to sit there And listen to the sutra, Through the merit which is thus acquired, One will attain the seats of Śakra, Brahma, or the noble emperors. How much more is the merit of a person Who singlemindedly listens to this sutra, Explains its meaning, and practices In accordance with its teaching! Their merit will thus be limitless."
XIX,250,47c,"The Beneﬁts Obtained by an Expounder of the Dharma Thereupon the Buddha addressed Bodhisattva Mahāsattva Satatasamitābhiyukta, saying: “If sons or daughters of a virtuous family preserve this Lotus Sutra, recite, explain, and copy it, they will attain eight hundred qualities of the eye, twelve hundred qualities of the ear, eight hundred qualities of the nose, twelve hundred qualities of the tongue, eight hundred qualities of the body, and twelve hundred qualities of the mind. These qualities will adorn the six sense faculties, purifying them all. Through the natural bodily eyes given them by their parents, which are thus puriﬁed, those sons and daughters of a virtuous family will see the mountains, forests, rivers, and oceans both within and beyond the great manifold cosmos, all the way from the lowest hell up as far as the highest summit of the universe. They will also see all the sentient beings there, perceive and know the causes and consequences of their deeds and of their states of birth.” Then the Bhagavat, wanting to elaborate upon the meaning of this further, spoke these verses: Listen to the qualities Of those in the great assembly Who can fearlessly teach This Lotus Sutra! Such people will attain The eight hundred qualities Of the excellent eye. Adorned with these qualities Their eyes are extremely pure. With the eyes given by their parents They see both all the manifold cosmos, Within and beyond Mount Meru, Sumeru, up to Mount Cakravāḍa, And many other mountains, Forests, oceans, rivers, and streams, Down to the lowest hell And up to the summit of the universe. There they see all the sentient beings; Although they have not yet Attained the divine eyes, Their power of sight will be like this."
XIX,252,48a,"“Furthermore, O Satatasamitābhiyukta, if sons or daughters of a virtuous family preserve, recite, explain, or copy this sutra, they will attain the twelve hundred qualities of the ear. Through their pure ears they will hear both within and beyond the great manifold cosmos, down as far as the lowest hell and up as high as the summit of the universe; they will hear all kinds of voices and sounds, such as the sound of elephants, the neighing of horses, the sound of cows and carts, cries, weeping, the sound of conches and drums, gongs and bells, laughter, talking, male and female voices, the voices of boys and girls, righteous and unrighteous voices, the sounds of suffering and happiness, the voices of common and holy people, pleasant and unpleasant sounds; the voices of devas, nāgas, yakṣas, gandharvas, asuras, garuḍas, kiṃnaras, mahoragas, the sounds of ﬁre, water, wind, beings in the hells, animals, hungry ghosts, monks, nuns, śrāvakas, pratyekabuddhas, bodhisattvas, and buddhas. “In short, although they do not have the divine faculty of hearing, they will always hear and know everything both within and beyond the great manifold cosmos, through the puriﬁed, natural bodily ears given by their parents. They distinguish all these various sounds and yet their faculty of hearing remains unharmed.” Thereupon the Bhagavat, wanting to elaborate on the meaning of this further, spoke these verses: The ear, given by the parents, Is pure and spotless; With this natural ear They hear the sounds of the manifold cosmos. They hear the sounds of elephants, Horses, carts and cows; The sounds of gongs, bells, conches, Drums, and vīṇās; The sounds of harps, bamboo pipes, and ﬂutes; Pure and pleasing songs. And even though they hear these, They are not attached to them. They hear innumerable kinds of human voices, And yet they are able to discriminate them. Furthermore, they hear divine sounds, Subtle melodies, male and female voices, The sounds of boys and girls. They also hear the cries of the kalaviṅka And jīvakajīvaka birds in the mountains, Around the rivers, or in deep valleys. They hear as well various sounds of pain And suffering from the hells, And sounds of hungry ghosts, Who, suffering from hunger and thirst, Are in search of food and drink. When the asuras living along the ocean Speak to each other and utter great cries, Such expounders of the Dharma, living here, Hear all of these various voices from afar, And yet their faculty of hearing is unharmed. Those expounders of the Dharma Hear all birds and animals In the ten directions calling to each other. The expounders of the Dharma dwelling here Also hear the voices in the Ābhāsvara And Śubhakṛtsna Heavens above the Brahma world, All the way up to the summit of the universe. The expounders of the Dharma dwelling here Hear all of the monks and nuns Either reciting the sutra"
XIX,253,48b,"Or explaining it to others. They also hear such voices As those of the bodhisattvas reciting the sutra, Teaching it to others, compiling the collections, And explaining their meaning to others. Those who preserve this Lotus Sutra Will all hear the buddhas, the great seers, Teaching the subtle Dharma to the great assembly And leading and inspiring sentient beings. They will hear all the sounds Both within and beyond the manifold cosmos, Down to the lowest hell And up to the summit of the universe; And yet their faculty of hearing Remains unharmed. Because their faculty of hearing is keen, They are able to discriminate these sounds. Although those who preserve this Lotus Sutra Have not yet attained the divine faculty of hearing, They can simply use the ears given by their parents. Their qualities are exactly like this. “Furthermore, O Satatasamitābhiyukta, if sons or daughters of a good family preserve this sutra, recite, explain, or copy it, they will perfect the eight hundred qualities of the nose. With this pure faculty of the nose they will smell all kinds of fragrances both within and beyond the great manifold cosmos, such as the fragrance of sumanas, jāti, mallikā, campaka, pāṭala ﬂowers, and red, blue, and white lotus ﬂowers, the scent of blossoming and fruit-bearing trees like sandalwood, aloeswood, and tagara wood, the aroma of the leaves of the tamāla tree, thousands of myriads of sorts of fragrances of blended incense, either powdered, shaped into balls, or made into scented ointments. Those who preserve this sutra will be able to distinguish all of these fragrances while remaining in a single place. They will be able to distinguish the scents of sentient beings such as elephants, horses, cows, sheep, men and women, boys and girls, grasses, trees, and shrubs or any kind of odor, either nearby or at a distance. They will also be able to unerringly distinguish all kinds of scents. “Those who preserve this sutra, although they dwell here, can smell all kinds of divine fragrances in heaven, such as the fragrance of pāracitraka and kovidāra trees; māndārava, great māndārava, mañjūṣaka, and great mañjūṣaka ﬂowers, or the fragrance of sandalwood and aloeswood powder and various kinds of powdered and blended incense. Among these divine fragrances, there is not one whose scent they cannot distinguish. “They can smell the fragrance of the bodies of all the devas. They can also smell from afar the fragrance that is emitted when Śakra, the king of devas, is dwelling in his excellent palace, when he is enjoying the desires of the ﬁve senses, or the fragrance that is emitted when he is in the Sudharmā Hall teaching the Dharma to the thirty-three devas, or the fragrance that is emitted when he plays in the garden, or the fragrance of the bodies of all the other male and female devas. “In this way their faculty of smell reaches up to the Brahma world and to the highest summit of the universe, wherein they can smell the bodies of the devas and the incense the devas burn. They can also smell from afar the fragrance of the śrāvakas, pratyekabuddhas, bodhisattvas, and buddhas and know where they are. “Although they can smell all these fragrances, their faculty of smell will not be harmed or misled; and if they want to discriminate and explain these different fragrances to others, they remember them without error.” At that time the Bhagavat, wanting to elaborate the meaning of this further, spoke these verses: Their faculty of smell is pure. They can smell and discriminate All kinds of good and bad odors In this world, such as sumanas And jāti ﬂowers, tamāla leaves, Sandalwood, aloeswood, and tagara trees, And various fruits and ﬂowers. And they also know the fragrance Of sentient beings, men and women."
XIX,256,48c,"The Dharma teachers, although dwelling afar, Know where these fragrances come from. They smell the scents of the noble emperors Of great dignity, the lesser rulers And their children, subjects and attendants, And know where they are. They can smell the fragrance of the rare jewels That they wear, their underground treasuries, And the noble emperor’s bejeweled queens, And also know where they are. They can also smell the ornaments, garments, And necklaces with which people adorn themselves And the fragrances they anoint themselves with, And know who wears them. Those who preserve this Lotus Sutra can smell The fragrance of the devas and tell Whether they are walking, sitting, Playing, or transforming themselves. Although they dwell here, Those who preserve this sutra, Know the location of the fragrances Of various ﬂowers, fruits, and oils in detail. They can smell the scent of sentient beings, Either deep in dangerous mountains, Or where the sandalwood ﬂowers are in bloom, And know where they are. Those who preserve this sutra Can smell the scents of sentient beings, Either on Mount Cakravāḍa, In the ocean or underground, And know exactly where they are. They can also smell the scents of the male And female asuras and their attendants; And they can discriminate them, When they are ﬁghting or when at play."
XIX,256,49a,"They can also smell the odors of lions, Elephants, tigers, wolves, buffaloes, And water buffaloes dwelling in dangerous Precipitous places in the wilderness, And know where they are. They can smell and discriminate exactly The scent of a pregnant woman And determine whether the embryo Will be male or female, Without sex organs, or nonhuman. Through this power of smell They know in the ﬁrst instance If the woman is pregnant, And whether or not It will be carried to full term; And if she will give birth easily, And to a happy child. Through this power of the faculty of smell They know what men and women are thinking, Their desires, delusions, and anger, Or whether they cultivate goodness. They can also smell gold, silver, And various rare treasures hidden underground, As well as the contents of copper vessels, And completely distinguish them. They can smell various necklaces And know whether they are valuable or not, Even when their prices are undetermined, Where they come from and where they are now. They can smell and know all about Divine ﬂowers such as māndārava And mañjūṣaka ﬂowers and pārijāta trees. They can also smell and discriminate The difference between superior, Mediocre, and inferior fragrances Of heavenly palaces adorned With various jeweled ﬂowers. They can also smell and know exactly About those who take pleasure In the heavenly gardens, excellent palaces, Towers and Dharma halls. Moreover, they can smell and know exactly Whether the devas are listening to the Dharma, Are enjoying the desires of the ﬁve senses, Or whether they are coming, going, Walking, sitting, or lying. They can also smell and know every detail of The garments worn by the heavenly maidens, Giving off the fragrance of beautiful ﬂowers, And where those maidens ramble in their play. In this way their power of smell reaches All the way up to the Brahma world. They can smell and know exactly The devas entering meditation and Emerging from meditation. They can also smell All the way from the Ābhāsvara And Śubhakṛtsna Heavens Up to the highest summit of the universe, And know exactly Who has been born there for the ﬁrst time And who has emerged. Those who preserve this sutra can Smell the monks and know exactly where they are, If they are constantly persevering toward the Dharma, If they are either sitting or walking, Reciting this sutra; Or if they are diligently Meditating under forest trees. They can also smell and know exactly"
